study,transition,ligand,receptor,sender,receiver,log2FC,pLig,pRec,score_sham,score_mcao,pathway,sig,linked_to_MR
GSE225948,2d,Apoe,Lrp1,NK1,BAM5,-4.4215775,0.6271026,0.7661888,0.23743293,0.010125992,Lipoprotein,False,False
GSE225948,14d,Apoe,Lrp1,Mg5,BAM4,6.7205625,1.4137915e-31,0.31523898,0.15538752,16.491747,Lipoprotein,True,False
GSE225948,2d,App,Sorl1,Mg7,MdC3,2.1033971,0.0010480366,0.5519287,0.042975087,0.18796976,Amyloid,True,True
GSE225948,14d,App,Sorl1,Epi,Gran5,-3.17411,0.21674395,0.44820148,0.22507268,0.024046425,Amyloid,False,True
GSE225948,2d,C1qa,C1qb,Mg8,MC2,-9.572391,3.924118e-25,1.0,0.7603366,7.456329e-15,Complement,True,False
GSE225948,14d,C1qa,C1qb,NK1,Mg8,-10.405299,0.25759882,0.01138071,5.2444434,0.0028678994,Complement,True,False
GSE225948,2d,C3,C3ar1,MdC3,Mg7,2.8843074,0.17629246,0.0012232059,0.012472115,0.098471545,Complement,True,True
GSE225948,2d,Ccl2,Ccr2,MdC2,NK1,3.4007108,0.025472708,0.38114408,0.15019664,1.5958278,Chemokine,True,True
GSE225948,14d,Ccl2,Ccr2,BAM5,NK1,3.29019,0.41049927,0.0006615967,0.101221055,0.9989683,Chemokine,True,True
GSE225948,2d,Ccl3,Ccr1,Mg5,MdC3,3.7191834,0.00092227606,6.9483603e-15,0.105985165,1.4079945,Chemokine,True,True
GSE225948,14d,Ccl3,Ccr1,Mg7,DC1,4.2791915,0.0002500979,0.010048494,0.10640493,2.0843992,Chemokine,True,True
GSE225948,2d,Ccl3,Ccr5,Mg5,BAM4,4.8970747,0.00092227606,0.27817684,0.010429382,0.33955652,Chemokine,True,True
GSE225948,14d,Ccl3,Ccr5,Mg7,BAM4,6.5558767,0.0002500979,0.2568468,0.013989974,1.4093157,Chemokine,True,True
GSE225948,2d,Ccl4,Ccr5,Mg4,BAM4,5.5384007,4.801625e-08,0.27817684,0.009533462,0.4885486,Chemokine,True,True
GSE225948,14d,Ccl4,Ccr5,Mg5,BAM4,6.982165,7.523416e-05,0.2568468,0.011664855,1.6001842,Chemokine,True,True
GSE225948,2d,Ccl5,Ccr5,Tc7,BAM4,5.5354557,0.022387262,0.27817684,0.008375375,0.4338373,Chemokine,True,True
GSE225948,14d,Ccl5,Ccr5,Tc7,BAM4,5.378677,0.14017257,0.2568468,0.008375375,0.38906023,Chemokine,False,True
GSE225948,2d,Ccl7,Ccr2,MdC2,NK1,2.6810644,0.3129929,0.38114408,0.10399259,0.67234784,Chemokine,False,False
GSE225948,14d,Ccl7,Ccr2,BAM2,NK1,3.0455618,0.11253192,0.0006615967,0.10236196,0.8524266,Chemokine,True,False
GSE225948,2d,Ccl8,Ccr2,BAM1,NK1,3.294588,7.5503526e-06,0.38114408,0.09129929,0.90466624,Chemokine,True,False
GSE225948,14d,Ccl8,Ccr2,BAM1,NK1,4.2216516,0.006436608,0.0006615967,0.09129929,1.7210355,Chemokine,True,False
