rank,drug,pert_id,best_score,mean_score,n_hits,cells,known
1,Hinokitiol,BRD-K37691127,0.0671,0.0671,1,HA1E,
2,2-morpholino-N-((5-nitro-1H-benzo[d]imidazol-2-yl)methyl)-9-(thiophen-3-yl)-9H-purin-6-amine,BRD-K01896723,0.0671,0.0671,1,HEPG2,
3,230752,BRD-A11702965,0.0671,0.0671,1,HA1E,
4,PLX-4720,BRD-K16478699,0.0671,0.0671,1,A375,
5,dabrafenib,BRD-K09951645,0.0671,0.0671,1,HT29,
6,pelitinib,BRD-K08799216,0.0671,0.0671,1,MCF10A,
7,NVP-TAE684,BRD-K50140147,0.0671,0.0671,1,HA1E,
8,WZ-4-145,BRD-U61997977,0.0671,0.0671,1,HA1E,
9,linifanib,BRD-K99749624,0.0671,0.0671,1,HME1,
10,AZD-5438,BRD-K72414522,0.0671,0.0671,1,HME1,
11,A443654,BRD-K88573743,0.0671,0.0671,1,HME1,
12,-666,BRD-K85853281,0.0671,0.0695,5,A375;HA1E;HEPG2,
13,PP-110,BRD-K03618428,0.0671,0.0702,2,A375;A549,
14,16-HYDROXYTRIPTOLIDE,BRD-A13122391,0.0671,0.0702,2,PC3;SKLU1,triptolide · 免疫抑制抗炎
15,HY-10459,BRD-K99545815,0.0671,0.0702,2,HA1E;HEPG2,
16,AZD-8330,BRD-K37687095,0.0671,0.0732,2,A375;HT29,
17,geldanamycin,BRD-A19500257,0.0671,0.0732,4,HA1E;MCF10A,
18,TWS119,BRD-K94176593,0.0732,0.0732,1,HA1E,
19,PP 2,BRD-K95785537,0.0732,0.0732,1,HA1E,
20,656402-250MG,BRD-K72238567,0.0732,0.0732,1,HA1E,
21,HY-10992,BRD-K46056750,0.0732,0.0732,2,ASC;VCAP,
22,PD-184352,BRD-K05104363,0.0732,0.0732,1,A375,
23,canertinib,BRD-K50168500,0.0732,0.0732,1,HME1,
24,alvocidib,BRD-K87909389,0.0732,0.0732,1,HME1,
25,PF-562271,BRD-K99545815,0.0732,0.0732,1,HME1,
26,KIN001-043,BRD-K44100512,0.0732,0.0732,1,HME1,
27,BMS-387032,BRD-K43389698,0.0732,0.0732,1,HME1,
28,AS-605240,BRD-K41895714,0.0732,0.0732,1,HT29,
29,GSK-1059615,BRD-K02708799,0.0732,0.0732,1,MCF10A,
30,NVP-AUY922,BRD-K65182930,0.0732,0.0773,3,MCF10A,
31,BMS-536924,BRD-K34581968,0.0793,0.0793,1,A375,
32,radicicol,BRD-A39996500,0.0793,0.0793,1,MCF10A,
33,AZD-7762,BRD-K46056750,0.0793,0.0793,1,HME1,
34,saracatinib,BRD-K19540840,0.0793,0.0793,1,HME1,
35,CGP-60474,BRD-K79090631,0.0976,0.1007,2,HME1,
